website,link,header,time,year,month,day,hour,minute,second
com.ifeng.news2,,com.ifeng.news,"Sep 17, 2018, 8:35:30 PM EDT",2018,9,17,20,35,30
com.vivo.gallery,,com.vivo.gallery,"Sep 17, 2018, 8:29:34 PM EDT",2018,9,17,20,29,34
com.vivo.vtouch,,com.vivo.vtouch,"Sep 17, 2018, 8:15:34 PM EDT",2018,9,17,20,15,34
com.vivo.gallery,,com.vivo.gallery,"Sep 17, 2018, 7:36:55 PM EDT",2018,9,17,19,36,55
com.bbk.launcher2,,com.bbk.launcher,"Sep 17, 2018, 7:36:51 PM EDT",2018,9,17,19,36,51
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 17, 2018, 7:36:50 PM EDT",2018,9,17,19,36,50
com.bbk.launcher2,,com.bbk.launcher,"Sep 17, 2018, 6:37:15 PM EDT",2018,9,17,18,37,15
Instagram,https://play.google.com/store/apps/details?id=com.instagram.android,Instagram,"Sep 17, 2018, 6:13:29 PM EDT",2018,9,17,18,13,29
鲨鱼记账-记账必备精品·3秒钟快速记账,https://play.google.com/store/apps/details?id=com.shark.jizhang,鲨鱼记账-记账必备精品·3秒钟快速记账,"Sep 17, 2018, 6:13:14 PM EDT",2018,9,17,18,13,14
Bank of America Mobile Banking,https://play.google.com/store/apps/details?id=com.infonow.bofa,Bank of America Mobile Banking,"Sep 17, 2018, 6:12:56 PM EDT",2018,9,17,18,12,56
NetEase Youdao Dictionary,https://play.google.com/store/apps/details?id=com.youdao.dict,NetEase Youdao Dictionary,"Sep 17, 2018, 6:12:19 PM EDT",2018,9,17,18,12,19
Google Chrome: Fast & Secure,https://play.google.com/store/apps/details?id=com.android.chrome,Google Chrome: Fast & Secur,"Sep 17, 2018, 6:12:11 PM EDT",2018,9,17,18,12,11
Messaging,https://play.google.com/store/apps/details?id=com.android.mms,Messaging,"Sep 17, 2018, 5:45:27 PM EDT",2018,9,17,17,45,27
WhatsApp Messenger,https://play.google.com/store/apps/details?id=com.whatsapp,WhatsApp Messenger,"Sep 17, 2018, 5:44:09 PM EDT",2018,9,17,17,44,9
Contacts,https://play.google.com/store/apps/details?id=com.android.contacts,Contacts,"Sep 17, 2018, 5:40:54 PM EDT",2018,9,17,17,40,54
Alipay,https://play.google.com/store/apps/details?id=com.eg.android.AlipayGphone,Alipay,"Sep 17, 2018, 5:33:01 PM EDT",2018,9,17,17,33,1
com.ifeng.news2,,com.ifeng.news,"Sep 17, 2018, 5:28:21 PM EDT",2018,9,17,17,28,21
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 17, 2018, 5:27:30 PM EDT",2018,9,17,17,27,30
com.bbk.launcher2,,com.bbk.launcher,"Sep 17, 2018, 4:48:39 PM EDT",2018,9,17,16,48,39
com.ifeng.news2,,com.ifeng.news,"Sep 17, 2018, 3:31:25 PM EDT",2018,9,17,15,31,25
com.bbk.launcher2,,com.bbk.launcher,"Sep 17, 2018, 3:23:56 PM EDT",2018,9,17,15,23,56
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 17, 2018, 3:21:25 PM EDT",2018,9,17,15,21,25
NYTimes - Latest News,https://www.google.com/url?q=https://%255BENTER-YOUR-URL-HERE%255D&usg=AFQjCNHi2-NHtvDMT82zC3MZDmi4LSXpxw,Section Pag,"Sep 17, 2018, 3:12:26 PM EDT",2018,9,17,15,12,26
com.vivo.browser,,com.vivo.browser,"Sep 17, 2018, 3:06:06 PM EDT",2018,9,17,15,6,6
Messaging,https://play.google.com/store/apps/details?id=com.android.mms,Messaging,"Sep 17, 2018, 2:43:37 PM EDT",2018,9,17,14,43,37
Contacts,https://play.google.com/store/apps/details?id=com.android.contacts,Contacts,"Sep 17, 2018, 2:43:35 PM EDT",2018,9,17,14,43,35
com.android.BBKClock,,com.android.BBKClock,"Sep 17, 2018, 2:40:02 PM EDT",2018,9,17,14,40,2
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 17, 2018, 1:59:29 PM EDT",2018,9,17,13,59,29
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 17, 2018, 12:55:55 PM EDT",2018,9,17,24,55,55
NYTimes - Latest News,https://www.google.com/url?q=https://%255BENTER-YOUR-URL-HERE%255D&usg=AFQjCNHi2-NHtvDMT82zC3MZDmi4LSXpxw,Section Pag,"Sep 17, 2018, 12:36:45 PM EDT",2018,9,17,24,36,45
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 17, 2018, 12:22:32 PM EDT",2018,9,17,24,22,32
com.bbk.launcher2,,com.bbk.launcher,"Sep 17, 2018, 12:03:37 PM EDT",2018,9,17,24,3,37
com.ifeng.news2,,com.ifeng.news,"Sep 17, 2018, 12:03:03 PM EDT",2018,9,17,24,3,3
com.android.BBKClock,,com.android.BBKClock,"Sep 17, 2018, 12:02:36 PM EDT",2018,9,17,24,2,36
NYTimes - Latest News,https://play.google.com/store/apps/details?id=com.nytimes.android,NYTimes - Latest News,"Sep 17, 2018, 12:02:20 PM EDT",2018,9,17,24,2,20
Google Chrome: Fast & Secure,https://play.google.com/store/apps/details?id=com.android.chrome,Google Chrome: Fast & Secur,"Sep 17, 2018, 11:38:19 AM EDT",2018,9,17,11,38,19
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 17, 2018, 11:10:13 AM EDT",2018,9,17,11,10,13
QQmail,https://play.google.com/store/apps/details?id=com.tencent.androidqqmail,QQmail,"Sep 17, 2018, 11:06:18 AM EDT",2018,9,17,11,6,18
YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,YouTub,"Sep 17, 2018, 10:51:43 AM EDT",2018,9,17,10,51,43
com.ifeng.news2,,com.ifeng.news,"Sep 17, 2018, 10:49:39 AM EDT",2018,9,17,10,49,39
Evernote,https://play.google.com/store/apps/details?id=com.evernote,Evernot,"Sep 17, 2018, 10:49:36 AM EDT",2018,9,17,10,49,36
Alipay,https://play.google.com/store/apps/details?id=com.eg.android.AlipayGphone,Alipay,"Sep 17, 2018, 10:47:24 AM EDT",2018,9,17,10,47,24
Xiami Music,https://play.google.com/store/apps/details?id=fm.xiami.main,Xiami Music,"Sep 17, 2018, 10:47:15 AM EDT",2018,9,17,10,47,15
com.android.camera,,com.android.camera,"Sep 17, 2018, 10:44:13 AM EDT",2018,9,17,10,44,13
NetEase Youdao Dictionary,https://play.google.com/store/apps/details?id=com.youdao.dict,NetEase Youdao Dictionary,"Sep 17, 2018, 10:36:07 AM EDT",2018,9,17,10,36,7
com.vivo.upslide,,com.vivo.upslid,"Sep 17, 2018, 10:30:36 AM EDT",2018,9,17,10,30,36
com.vivo.browser,,com.vivo.browser,"Sep 17, 2018, 10:23:20 AM EDT",2018,9,17,10,23,20
QQmail,https://play.google.com/store/apps/details?id=com.tencent.androidqqmail,QQmail,"Sep 17, 2018, 10:10:27 AM EDT",2018,9,17,10,10,27
com.android.BBKClock,,com.android.BBKClock,"Sep 17, 2018, 10:09:59 AM EDT",2018,9,17,10,9,59
com.bbk.launcher2,,com.bbk.launcher,"Sep 17, 2018, 9:15:43 AM EDT",2018,9,17,9,15,43
WeChat,https://play.google.com/store/apps/details?id=com.tencent.mm,WeChat,"Sep 17, 2018, 9:06:39 AM EDT",2018,9,17,9,6,39
